Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Max Aarons,eng ENG,DF,Norwich City,18,2000,41,41,"3,664",40.7,2,6,8,2,0,0,8,0,2.6,2.6,4.6,7.2,87,151,226,0.05,0.15,0.20,0.05,0.20,0.06,0.11,0.18,0.06,0.18,Matches
2,Rolando Aarons,eng ENG,"MF,FW",Sheffield Weds,22,1995,9,6,555,6.2,1,1,2,1,0,0,1,0,0.8,0.8,0.9,1.8,22,6,32,0.16,0.16,0.32,0.16,0.32,0.14,0.15,0.29,0.14,0.29,Matches
3,Tammy Abraham,eng ENG,FW,Aston Villa,20,1997,37,37,"3,138",34.9,25,3,28,20,5,6,3,0,25.2,20.4,2.9,23.3,48,57,190,0.72,0.09,0.80,0.57,0.66,0.72,0.08,0.80,0.59,0.67,Matches
4,Charlie Adam,sct SCO,MF,Stoke City,32,1985,12,4,386,4.3,0,0,0,0,0,0,3,0,0.4,0.4,0.7,1.1,3,17,7,0.00,0.00,0.00,0.00,0.00,0.10,0.16,0.26,0.10,0.26,Matches
5,Che Adams,sct SCO,FW,Birmingham City,22,1996,46,43,"3,728",41.4,22,4,26,21,1,1,5,0,15.9,15.4,6.2,21.6,69,61,332,0.53,0.10,0.63,0.51,0.60,0.39,0.15,0.53,0.37,0.52,Matches
6,Tosin Adarabioyo,eng ENG,DF,West Brom,20,1997,29,21,"2,031",22.6,0,2,2,0,0,0,3,0,1.6,1.6,0.6,2.2,21,69,27,0.00,0.09,0.09,0.00,0.09,0.07,0.03,0.10,0.07,0.10,Matches
7,Hakeeb Adelakun,eng ENG,MF,Bristol City,22,1996,5,3,166,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,2,1,10,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14,Matches
8,Albert Adomah,gh GHA,"MF,FW",Aston Villa,30,1987,36,22,"1,857",20.6,4,2,6,4,0,0,3,0,3.8,3.8,5.3,9.1,80,51,177,0.19,0.10,0.29,0.19,0.29,0.18,0.26,0.44,0.18,0.44,Matches
9,Benik Afobe,cd COD,FW,Stoke City,25,1993,45,32,"2,818",31.3,8,2,10,6,2,4,0,0,12.2,9.0,1.2,10.2,35,16,199,0.26,0.06,0.32,0.19,0.26,0.39,0.04,0.43,0.29,0.33,Matches
10,Semi Ajayi,ng NGA,"DF,MF",Rotherham Utd,24,1993,46,46,"4,106",45.6,7,1,8,7,0,0,5,0,7.0,7.0,1.3,8.2,13,63,22,0.15,0.02,0.18,0.15,0.18,0.15,0.03,0.18,0.15,0.18,Matches
11,Joost van Aken,nl NED,DF,Sheffield Weds,24,1994,1,1,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
12,George Alexander,eng ENG,FW,Millwall,17,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
13,Ezgjan Alioski,mk MKD,"MF,DF",Leeds United,26,1992,44,44,"3,659",40.7,7,6,13,7,0,0,9,0,6.2,6.2,6.2,12.4,68,140,391,0.17,0.15,0.32,0.17,0.32,0.15,0.15,0.30,0.15,0.30,Matches
14,Joe Allen,wls WAL,MF,Stoke City,28,1990,46,46,"4,131",45.9,6,4,10,6,0,0,9,0,6.0,6.0,5.7,11.7,72,247,162,0.13,0.09,0.22,0.13,0.22,0.13,0.12,0.26,0.13,0.26,Matches
15,Ben Alnwick,eng ENG,GK,Bolton,31,1987,27,27,"2,43",27.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
16,Sone Aluko,ng NGA,"MF,FW",Reading,29,1989,19,13,996,11.1,1,1,2,1,0,0,0,0,0.9,0.9,1.2,2.0,38,54,44,0.09,0.09,0.18,0.09,0.18,0.08,0.10,0.18,0.08,0.18,Matches
17,Sammy Ameobi,eng ENG,"FW,MF",Bolton,26,1992,30,26,"2,333",25.9,4,4,8,4,0,0,2,1,3.4,3.4,4.3,7.7,65,91,142,0.15,0.15,0.31,0.15,0.31,0.13,0.17,0.30,0.13,0.30,Matches
18,Ben Amos,eng ENG,GK,Millwall,28,1990,12,12,"1,08",12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
19,Karim Ansarifard,ir IRN,"FW,MF",Nott'ham Forest,28,1990,12,3,293,3.3,2,1,3,2,0,0,3,0,2.7,2.7,0.0,2.7,8,4,21,0.61,0.31,0.92,0.61,0.92,0.83,0.01,0.84,0.83,0.84,Matches
20,Arvin Appiah,eng ENG,FW,Nott'ham Forest,17,2001,6,2,171,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,1,7,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
21,Jordan Archer,sct SCO,GK,Millwall,25,1993,24,24,"2,16",24.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
22,Adam Armstrong,eng ENG,"FW,MF",Blackburn,21,1997,44,31,"2,853",31.7,5,3,8,5,0,0,1,0,5.9,5.9,4.4,10.3,100,80,266,0.16,0.09,0.25,0.16,0.25,0.19,0.14,0.32,0.19,0.32,Matches
23,Joel Asoro,se SWE,"FW,MF",Swansea City,19,1999,14,4,465,5.2,0,1,1,0,0,0,0,0,1.5,1.5,0.2,1.7,16,10,40,0.00,0.19,0.19,0.00,0.19,0.29,0.04,0.33,0.29,0.33,Matches
24,Britt Assombalonga,cd COD,FW,Middlesbrough,25,1992,42,28,"2,682",29.8,14,0,14,12,2,2,2,0,15.4,13.8,2.4,16.2,44,26,218,0.47,0.00,0.47,0.40,0.40,0.52,0.08,0.60,0.46,0.54,Matches
25,Daniel Ayala,es ESP,DF,Middlesbrough,27,1990,33,32,"2,717",30.2,1,0,1,1,0,0,11,2,3.4,3.4,0.5,3.9,15,67,11,0.03,0.00,0.03,0.03,0.03,0.11,0.02,0.13,0.11,0.13,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Luke Ayling,eng ENG,DF,Leeds United,26,1991,38,38,"3,238",36.0,2,6,8,2,0,0,5,1,3.3,3.3,6.0,9.3,107,238,175,0.06,0.17,0.22,0.06,0.22,0.09,0.17,0.26,0.09,0.26,Matches
27,Leandro Bacuna,cw CUW,MF,Reading,26,1991,26,23,"2,101",23.3,3,3,6,3,0,0,4,1,2.0,2.0,2.7,4.6,42,134,41,0.13,0.13,0.26,0.13,0.26,0.08,0.11,0.20,0.08,0.20,Matches
28,Ash Baker,wls WAL,"DF,MF",Sheffield Weds,21,1996,11,11,958,10.6,0,0,0,0,0,0,6,0,0.1,0.1,0.1,0.2,12,26,33,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
29,Lewis Baker,eng ENG,MF,Leeds United,23,1995,11,2,228,2.5,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,5,15,10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
30,Lewis Baker,eng ENG,MF,Reading,23,1995,19,17,"1,478",16.4,1,1,2,1,0,0,1,0,0.9,0.9,0.8,1.7,19,71,12,0.06,0.06,0.12,0.06,0.12,0.06,0.05,0.10,0.06,0.10,Matches
31,Nathan Baker,eng ENG,DF,Bristol City,27,1991,16,12,924,10.3,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.9,1,17,2,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
32,Courtney Baker-Richardson,eng ENG,FW,Swansea City,22,1995,17,6,454,5.0,3,1,4,3,0,0,1,1,3.5,3.5,0.3,3.8,5,3,23,0.59,0.20,0.79,0.59,0.79,0.69,0.05,0.75,0.69,0.75,Matches
33,George Baldock,gr GRE,DF,Sheffield Utd,25,1993,27,26,"2,274",25.3,1,2,3,1,0,0,5,0,1.8,1.8,2.1,4.0,67,87,174,0.04,0.08,0.12,0.04,0.12,0.07,0.08,0.16,0.07,0.16,Matches
34,Sam Baldock,eng ENG,FW,Reading,29,1989,21,15,"1,364",15.2,5,1,6,3,2,2,2,0,5.4,3.8,1.2,5.0,18,31,104,0.33,0.07,0.40,0.20,0.26,0.36,0.08,0.43,0.25,0.33,Matches
35,David Ball,eng ENG,FW,Rotherham Utd,28,1989,1,1,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Patrick Bamford,eng ENG,FW,Leeds United,24,1993,22,15,"1,363",15.1,9,2,11,8,1,2,2,0,12.0,10.4,1.3,11.7,14,25,135,0.59,0.13,0.73,0.53,0.66,0.79,0.09,0.88,0.69,0.78,Matches
37,Beni Baningime,cd COD,MF,Wigan Athletic,19,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
38,Barry Bannan,sct SCO,MF,Sheffield Weds,28,1989,41,40,"3,595",39.9,5,11,16,5,0,0,14,0,2.5,2.5,9.5,12.1,55,282,51,0.13,0.28,0.40,0.13,0.40,0.06,0.24,0.30,0.06,0.30,Matches
39,Alex Baptiste,eng ENG,DF,QPR,32,1986,4,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,2,2,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
40,Yoann Barbet,fr FRA,DF,Brentford,25,1993,32,30,"2,694",29.9,1,0,1,1,0,0,5,0,2.3,2.3,2.5,4.7,51,227,45,0.03,0.00,0.03,0.03,0.03,0.08,0.08,0.16,0.08,0.16,Matches
41,Brandon Barker,eng ENG,FW,Preston,21,1996,16,6,594,6.6,0,2,2,0,0,0,0,0,0.5,0.5,1.8,2.3,41,22,54,0.00,0.30,0.30,0.00,0.30,0.08,0.27,0.35,0.08,0.35,Matches
42,Tom Barkhuizen,eng ENG,"FW,MF",Preston,25,1993,34,26,"2,35",26.1,6,1,7,6,0,0,0,0,5.8,5.8,2.1,7.9,73,57,171,0.23,0.04,0.27,0.23,0.27,0.22,0.08,0.30,0.22,0.30,Matches
43,Harvey Barnes,eng ENG,"MF,FW",West Brom,20,1997,26,26,"2,214",24.6,9,6,15,9,0,0,1,0,7.1,7.1,6.6,13.7,112,85,208,0.37,0.24,0.61,0.37,0.61,0.29,0.27,0.56,0.29,0.56,Matches
44,Josh Barrett,ie IRL,FW,Reading,20,1998,2,1,106,1.2,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,6,3,16,0.00,0.00,0.00,0.00,0.00,0.38,0.06,0.44,0.38,0.44,Matches
45,Modou Barrow,gm GAM,"FW,MF",Reading,25,1992,35,25,"2,24",24.9,4,6,10,4,0,0,4,0,4.6,4.6,4.8,9.4,94,58,190,0.16,0.24,0.40,0.16,0.40,0.19,0.19,0.38,0.19,0.38,Matches
46,Gareth Barry,eng ENG,MF,West Brom,37,1981,24,15,"1,391",15.5,1,1,2,1,0,0,8,0,0.8,0.8,1.3,2.0,17,114,16,0.06,0.06,0.13,0.06,0.13,0.05,0.08,0.13,0.05,0.13,Matches
47,Kyle Bartley,eng ENG,DF,West Brom,27,1991,28,24,"2,189",24.3,1,1,2,1,0,0,6,0,1.6,1.6,0.8,2.3,22,74,6,0.04,0.04,0.08,0.04,0.08,0.06,0.03,0.10,0.06,0.10,Matches
48,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,30,1988,41,39,"3,386",37.6,4,1,5,4,0,0,12,1,2.4,2.4,2.7,5.1,87,162,121,0.11,0.03,0.13,0.11,0.13,0.06,0.07,0.14,0.06,0.14,Matches
49,Gil Bastião Dias,pt POR,FW,Nott'ham Forest,21,1996,21,10,921,10.2,0,0,0,0,0,0,2,0,0.8,0.8,0.8,1.6,27,36,57,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.16,0.08,0.16,Matches
50,Danny Batth,eng ENG,DF,Stoke City,27,1990,17,17,"1,53",17.0,0,0,0,0,0,0,2,0,1.2,1.2,0.1,1.3,7,29,1,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Danny Batth,eng ENG,DF,Middlesbrough,27,1990,10,8,722,8.0,0,0,0,0,0,0,1,0,1.3,1.3,0.0,1.3,2,14,2,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
52,Daniel Batty,eng ENG,MF,Hull City,20,1997,27,22,"1,819",20.2,0,1,1,0,0,0,2,0,0.3,0.3,1.6,1.9,14,75,16,0.00,0.05,0.05,0.00,0.05,0.02,0.08,0.09,0.02,0.09,Matches
53,Moritz Bauer,at AUT,DF,Stoke City,26,1992,8,6,597,6.6,0,0,0,0,0,0,1,0,0.0,0.0,1.3,1.3,17,21,21,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,Matches
54,Mads Bech Sørensen,dk DEN,DF,Brentford,19,1999,8,7,673,7.5,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,1,28,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,Matches
55,Mark Beevers,eng ENG,DF,Bolton,28,1989,32,31,"2,765",30.7,3,0,3,3,0,0,4,0,2.0,2.0,0.4,2.4,2,45,15,0.10,0.00,0.10,0.10,0.10,0.07,0.01,0.08,0.07,0.08,Matches
56,Amari'i Bell,jm JAM,DF,Blackburn,24,1994,38,35,"3,204",35.6,3,1,4,3,0,0,0,0,1.3,1.3,1.2,2.6,84,125,105,0.08,0.03,0.11,0.08,0.11,0.04,0.03,0.07,0.04,0.07,Matches
57,Yohan Benalouane,tn TUN,DF,Nott'ham Forest,31,1987,14,14,"1,215",13.5,1,0,1,1,0,0,7,2,1.4,1.4,0.1,1.5,4,23,3,0.07,0.00,0.07,0.07,0.07,0.10,0.01,0.11,0.10,0.11,Matches
58,Elliott Bennett,eng ENG,"DF,FW",Blackburn,29,1988,40,38,"3,399",37.8,1,3,4,1,0,0,10,0,2.0,2.0,3.2,5.2,51,169,154,0.03,0.08,0.11,0.03,0.11,0.05,0.08,0.14,0.05,0.14,Matches
59,Mason Bennett,eng ENG,"FW,MF",Derby County,22,1996,30,9,"1,12",12.4,3,4,7,3,0,0,6,0,2.3,2.3,3.2,5.5,42,32,102,0.24,0.32,0.56,0.24,0.56,0.18,0.26,0.44,0.18,0.44,Matches
60,Saïd Benrahma,dz ALG,FW,Brentford,22,1995,38,29,"2,438",27.1,10,14,24,10,0,0,3,1,7.8,7.8,8.3,16.1,164,101,295,0.37,0.52,0.89,0.37,0.89,0.29,0.31,0.60,0.29,0.60,Matches
61,Daniel Bentley,eng ENG,GK,Brentford,25,1993,33,33,"2,954",32.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
62,Saido Berahino,bi BDI,FW,Stoke City,24,1993,23,16,"1,33",14.8,3,1,4,3,0,1,0,0,4.4,3.6,0.9,4.5,30,39,98,0.20,0.07,0.27,0.20,0.27,0.30,0.06,0.36,0.25,0.30,Matches
63,Gaetano Berardi,ch SUI,DF,Leeds United,29,1988,13,10,895,9.9,0,1,1,0,0,0,4,0,0.5,0.5,0.5,1.0,12,39,16,0.00,0.10,0.10,0.00,0.10,0.05,0.05,0.10,0.05,0.10,Matches
64,Muhamed Bešić,ba BIH,MF,Middlesbrough,25,1992,37,30,"2,254",25.0,2,5,7,2,0,0,5,1,1.9,1.9,4.3,6.2,76,175,65,0.08,0.20,0.28,0.08,0.28,0.08,0.17,0.25,0.08,0.25,Matches
65,Bartosz Białkowski,pl POL,GK,Ipswich Town,31,1987,28,28,"2,52",28.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01,Matches
66,Jake Bidwell,eng ENG,DF,QPR,25,1993,40,40,"3,482",38.7,0,4,4,0,0,0,8,0,1.3,1.3,4.1,5.3,54,111,109,0.00,0.10,0.10,0.00,0.10,0.03,0.11,0.14,0.03,0.14,Matches
67,Mame Biram Diouf,sn SEN,"FW,MF",Stoke City,30,1987,14,6,621,6.9,0,1,1,0,0,0,0,0,1.2,1.2,1.1,2.3,8,10,57,0.00,0.14,0.14,0.00,0.14,0.18,0.15,0.33,0.18,0.33,Matches
